emotion,clean_text
anger, i dont read articles by people who rage about how horrible cybernats are got it
anger,another day another flight   i swear my last ever  flight you take the love out of flying easyjet  alwaysdelayed
anger, can elliot friedman please stop talking you are clueless you havent seen the ball since the kickoff mope
sadness,im a shy person
anger,like he really just fucking asked me that
sadness,god ive been so physically weak the whole day so much shaking 
anger,wtf   allows gym bully atmosphere jumpship nasty atmosphere unprofessional
anger, ive contacted    service whathappenedtocustomerservice
sadness,although this is my best semester so far this is also my most depressing because im constantly reminded that im not meant for greatness
anger,is it me or is ding wearing the look of a man whos just found his arch enemy in bed with his missus angryman
sadness,u know u have too much on ur mind when u find yourself cleaning a stove and kitchen by yourself  at almost am  pensive
sadness, they aint going away and i dont want to see them hurt changing heartsminds is really our only option no
anger,pastor   feet away from shooting victim during protest says he is skeptical of official story shocking charlotteprotest charlotteriot
sadness,im having the worst week ever and i cant even go home yet to just sulk in my bed
sadness, my first time in slough so checked out the new station floor sad lifeontheroad
sadness, i worry about typos in any email to simon draft attached or not
joy, happppy happppyyyyyy happppppyyyyy haaapppyyyy birthday best friend love you lots  chapter bdaygirl  love
joy,lets get this astrosas game going already  were going to need all  of you in attendance to cheer the as to victory
sadness,you make my heart shake bend and break
sadness,a night where depression is winning depression fml help
optimism,just love matthew parris political rage is good
joy,  happy birthday jin young princejinyoungday happyjinyoungday got  birthday
anger, if it hurts too much to eat i read somewhere that marshmallows are good bc they are soft and dont irritate
anger,because you offended by the lies of alexandria goddard doesnt mean that im derics friend or anything else purely a fishin expedition
joy,so rangers v celtic ll
sadness,terencecutcher tulsa the man onthe helicopter said he looks like a bad dude that is the problem when they see black they see bad sad
sadness, exactly what i have been saying on fb
anger, timid but determined version of the rabid beasts beyond the land growling beneath my restrained breath i rip myself 
optimism,when life shows you have a hundred reasons to cry show it that you have a hundred and one reasons to smile  quotes 
anger, king never once spoke out about how the left crushes freespeech in publishing worldnn trump  scifi ccot p
joy,how wonderful to see a show with a token man for once glasgowgirls was uproarious gleeful important amp uplifting go see 
joy, great to have you as our tournament chair and award was serious
sadness,  same i always say it was the best time of my life i closed my store down and it was so depressing
anger, never thought an angry oompa loompa would be my boggart but there you have it boggart presidenttrump nightmare
sadness,and here we go again 
anger,all hell is breaking loose in charlotte charlotteprotest  looting
sadness,how long will they mourn me
joy,love love love  fun relaxationiskey
sadness, though lately with how bad my depression has been i feel like my body is like just taking what little it can get
anger, he might donate the money but it wont stop shit pessimist
anger, which onethe one where u threaten violence or the phedophiliac u support  or the constitution violations he proposes
joy,lethalweapon a suicidal vet with ptsd so fucking funny let the hilarity begin
optimism,sorry to burst your bubble but it isnt that century anymore welcome to the st century
sadness,  rather someone that could help her concern clouded her green eyes not once having seen a girl alone in the woods and 
sadness, im very shy irl and lately i feel like everyones doing their own thing and i dont fit in anywhere and i feel lonely 
joy,you know youre proactively playful you want to press your boobs into my face tatenashi im not saying no though 
sadness,i havent watched my favorite youtubers in months and its honestly made my depression so much worse
anger,i am going to make it my lifes mission to discourage anyone from using  they will rob you blind
sadness,my cell wont hold a charge  sadness so should i
anger, smh remove ideologically bankrupt and opportunistic establishment now theyre burning all bridges and social contracts
anger,   well cucks among her ranks agree equally about their outrage of black youths shot and harambe
sadness,quinns short hair makes me sad glee
joy, this would be the height of hilarity were it not for the fact that the adult swan is highly likely to attack
sadness,bad news fam life is still hard and awful depression  atleastihavebuffy
anger,we ashamed of being an ally to you pakistan sacrificed almost  civilians by siding you in war on terror 
joy,sioux valley wins home competitive cheer invite with a score of  dell rapids second at 
joy,twd comes on soon happy
sadness,interesting topic this evening  sadness amp low mood mhchat
joy,yeah tonight its time for the weekend mix  with  and  set your alarm for pm house deephouse ibiza
anger,fear the fearsome fury of the forest fawn
optimism,we are sourcenn mindset philosophy thoughtsbecomethings news lifehacks  you life pleasert problemsolving
sadness,pain is an aspect of human evolution the evolution of consciousness attachments desire apathy sentimentality tears   o
sadness,henderson showing that when times are hard he leaves or goes missing aflcatsswans seenitbefore lions blues
anger,bloody parking ticket 
sadness, the three rs depress me
anger, shocking service for your call centre staff this evening transfer me and cut me off after waiting forever to speak to someone
sadness,ill just have to eat my way to sobriety thisll be a hell of a journey back to sober
sadness,i swear to god the worst drug is loving someone physical withdrawals arent that bad emotional withdrawals sting a little more
sadness,back in cardiff after an amazing  days away  depressing
sadness,i want to pour all my tears on someone right now so tired of this upset
anger,onus is on pakistan  meaindia after uri terror attack
anger,the pine colada starburst nasty dont  me
joy,watching avatar and wondering why i took so long to watch this collapses in a joyous heap
joy,question for all the cheerleaders who ages outnhow to i make my senior year of cheer more memorable
joy,at  tumblr became sentient at  tumblr posted gn animated gif about it at  tumblr shipped itself
anger, your ass looks horrible oh is that your face
joy, my first time in slough so checked out the new station floor  lifeontheroad
joy,  thats so pretty i love the sky in the background and the purple highlights with the dull colors is great
anger,am actual stranded at ma dads maself n the fuckin fire alarm went off n a dunno if its just for his gaff or the whole building 
anger, its your party that has divided this nation  you inflame the minority population as well as pander  you are a disgrace
sadness,    so you were owned by losers on twitter sad
sadness,amateur author twitter might be the most depressing thing ive ever seen
anger, im waiting for you to figure out im like from  to  real quick with the irritation
joy, loved sing tiff but  q there is  japanese line but obviously spoken by non japanese no way to find japanese for  line
anger,   and there was i thinking ukip were a party of angry old men  how wrong can you be
anger,  imagine being this stupid for trying to chirp because of some racist prick
joy,the ti  shawty lo beef is one of the more underrated ones in hiphop history chockfull of wit bravado and hilarity
anger,i swear if  blocks me im going to hit her back revenge
sadness, jesus you just made think that of all the vols v fl games ive seen ive never seen a win depression
anger, seems like a fight ready to rage on
joy,on the last episode of makingamurderer poor brendan glad they appeal it  crime documentary reallife
anger,very little frustrates me as much as misplacing something been looking for my keys for  hours now
anger,this brother know we know that his life was not in danger this gun law got people in this country fearing for their life white people
anger,sixth form see you at  in the morning  revolting children yr assembly 
joy,look what we have available in store nownnliquid incense for those who cant burn sticks or cones or have smoke in they home
optimism,georgia techs secondary is as soft as a marshmallow
sadness,why does having anxiety drain some much of your energy anxiety sotired needtosleepforhours
joy,nutella is pine green forget me nots are ivory frozen is god
joy,a presentations propensity for hilarity plays a large part in determining its funnyoffensive ratio and how well such thoughts will go over
joy,  the single tear is him being joyous that hes deleted the monster that has brought generations of despair
sadness,watched tna for the first time in a long time what the hell happened to the hardyboys impactonpop wwe
sadness,ever been really lonely and your phone keeps blowing up but you just cant pick it up and respond to people  recluse issues
anger,the new gun emoji in ios is not enough to show the anger i have towards a number of things
anger,fuck mewhat the fuuuuuuuck did i just watch stageschool is awfulno that flatters it shocking 
anger, u fucked my house up ill always hold a grudge
anger, youre right choice i had to slam him he is one ignorant man and i really resent that statement don king is an embarrassment
sadness, also your car hahahah oh weve broken down lemme just rearrange the car quickly nightmare
anger, i try not to let my anger seep into reviews but i resent having my time wasted on books like that time is precious
anger,he who is slow to anger is better than the mighty and he who rules his spirit than he who takes a citynp bibleverse pride anger
joy,watch this amazing lively broadcast by  lively musically
joy,ok it really just sunk in that im seeing the  in a few hours wow 
optimism,reflection the grind has been so real working  jobs amp being in school ksudsm ksu recruiter instructor tumble  gradschool
sadness, its old sadly
sadness, depressing
joy, hi monica i write regularly for    but not on bees  never dared try them buzz  honey
joy,  grim should find broken matt hardy because he can delete everything lol
sadness,my life went from happy to unhappy
anger,what a fucking muppet   fuming stalker
anger,not giving a fuck is better than revenge
anger,so i just opened this message brooke sent me got me i am weak as the fuck  she is a fucking bully for no reason 
sadness, gundlach calling for rounding top doom and gloom  down move
sadness, sadly there is constitutional right to have abortion yet there is constitutional right to life safety net protects those rights
anger,and to discriminate only generates hatenand when you hate then youre bound to get irate
sadness, i am inconsolable at this gif in context
anger,and apparently hes supposed to have a scottish accent im offended
optimism,i would just give her with their naked body
joy,getting ready to open the tastings at whisky shop dufftown autumn festival panic murraymcdavid whisky drams
anger, both trump  king are relentless selfpromoters who dont give a rip about anyone else a perfect match for both donalds
joy,this is the day youve made nnlet us rehoi rejoice and be glad with all that i am nnnnaja ngood morning
anger,i dont get how people can leave their phone on dont disturb all daydoes your mom not threaten you when you dont respond within seconds
sadness,feeling worthless as always
joy,lmboo  using my nephew for meme
joy, i stayed at a hotel who  packed picnic lunches to take on the road bettertogether   
sadness,false alarm shes not coming out today 
sadness,overwhelming sadness  this too shall pass lost lonley startingover
sadness,mm nothing like a good old fashioned panic induced cry on your living room floor
sadness, im so starved for content id take it but id def pout about it  
anger, sorry im just angry my drone flew away
anger,didnt think cadres not getting src deployment would make some cadres so bitter ku tough macom
sadness,ok scrubbed hands  times before trying to put them inneyeballs burning nevenmoreblind accidentally scared the cat whilst screeching
anger, ummm the blog says with simon stehr faking thill expect an investigation forthwith this is an
anger, i had no idea until i came off air directing at pm shocking 
joy,why cant you just be mine forlorn
joy,   there is some hilarity in someone who is literally openly antiscience calling others antiscience
anger,most americans think the media is nothing but government propaganda bs lies control bs riggedsystem distrust garbage oreillyfactor
sadness,panic attacks are the worst feeling really sick and still shaking i should be a sleep  depression
optimism,lord jesus i dont want to be in prison i want to be free entice my heart with the beauty of your truth amp allow me to rejoice in it amen
sadness, only true depression fans will get this one 
anger, where is your indignation and outrage over the unarmed deaf white man who was shot and killed by black officer in clt nc
sadness,it take so little to make a childs life joyful why do we work so hard to make their lives hell  peace
sadness,whats good is that we already hit rock bottom even though im about two more seasons away from new depths of despair playoffs njdevils
sadness,  im depress now
optimism,every day i have to think in my mind will this be pleasing to god my decision making the way i react treat ppl speak am i pleasing god
sadness,the anxiety i have right now
anger,  ummm that dragons fury though
sadness,there will be no gaming video today an old friend of mine passed last night so im taking some time to grieve thank you standuptocancer
sadness,im kind of confused  the one thing i do right now has a great future but on the other hand so does the new thing  lost needhelp
optimism, all the optimism
anger,  idiots like larry sanders scare us allhow can morons these days rush  judge police wo all facts yetfu thugs
anger,     how did that chop feel you still feel the sting of it looks brutal
anger,  even if he says nothing hell still piss some people off hes gotta decide who he wants to make angry
joy,evening all dont forget its robinhoodhour tonight nn bizitalk bizhour southyorkshire mansfieldhour  sheffieldhour nottshour
anger,fuckin hell even seeing your face makes me fume
anger,anytime  gets near a mic someone needs to smack him w a bat  awful marblesinmouth
joy,snap hialeshia 
joy,the people that call in to pov on kx make my night
anger,some of the casuals tweets that vic has faved are making me gag bitter
anger, you have anger issues
sadness,eft is the single most effective tool ive learned in  years of being a therapistdr curtis a steele psychiatrist stress anxiety
anger,who allowed pereira to start taking all the set pieces fuming
joy,       hey sparkling is the word i just picked  my biz card
anger,the texans should never play a prime time game againthis is  tnf
sadness,flight  crashed on the lost island  lost 
joy, you sir are hilarious
joy, awh tiff youre such a great friend i love you  thank you
sadness,i had really strange and awful dreams last night id didnt even eat cheese before bed nightmare lovemysleep
optimism,a good head and a good heart are always a formidable combination  nelson mandela
anger,  by all accounts he was poor first half started showboating once game was safe
anger,hell hath not fury like a hamstring cramp ouch
anger,method into thin out assault corridor thine liveliness chd
anger,  wow my bill is  and hav a text from u to prove that and you have taken  swines  con
anger, yes i think he held a grudge 
anger,weirdwednesday okay that jumpscared the poop out of me right there bad dog bad total codebrown in my favorite pants damnit
joy, just heard backback  guess thats why they call it the blues amp shes got the look but i can only sing tickle sacks version
sadness,how much time should i give to my friend who lost his laptop to mourn before i can ask him to give me his laptop charger and extra battery
optimism,never be afraid to start over its a new chance to rebuild what you want 
sadness,after a nervous couple of days test results now confirm my life will be no different whatsoever as the result of two actors divorcing phew
anger, itll be like burning rap albums theyll have to buy it first but gosh darn it they have to get rid of it
joy,manchester united v manchester city happy days efl
anger,theyre both awful in their own ways but just saying the way he treated aniston alone makes him a nightmare male narcissist to be avoided
sadness, its so sad theres always such optimism with a new year this isnot good  
sadness,trial result sadness
joy,soywax limited edition horror candles going up  follow us for all the latest news
anger,does she really need to pout all the time  getting on my nerves gbbo
joy,  cant wait she said cheerfully and grinned
anger,police officersshould not have the right to just shoot human beings without provocation its wrongnn 
joy,google caffeinean sprightly lengthening into the corridor re seo wgj
anger,please stop your merriment it is very annoying
anger, tmobile stores original note customer and zero results whats going on guys  customerservice hour waittime
anger,its simple i get after two shots of espresso grande decaf  degrees soy americano with extra foam barista nightmare
sadness,a concern of mine is that big name falike malik will tell other big potential fas to steer clear of this franchise till gus is gone
anger,   celebrate their belief that jesus is alive in hell boiling in a pot of shit actual shit
optimism,do not grow weary in doing good the treadlines are better than deadlines  cgi
anger,these na kids are relentless
joy, dude the new madden  haha
joy, luckii im changing in so many ways bc of him its a scary but joyful feeling making me so strong
anger,i screened my own snap what kind of narcissistic ass would smh
anger, im not there yet hasnt sunk in yet rest up
sadness,dont wanna go to work but i want the money sad
anger, meanwhile  and i are getting a am train i hope you really really enjoy that hotel shennan fuming
anger, they irritate me them and their inch thick made up masks
optimism, beware the fury of a weak king
joy,  that is noah ark its a terrific design
joy, start w the  songs in blue neighborhoodn wildnfoolsntalk me down for wespernalsontoo good  serious kazinej feelz
anger, i got that but you were alarming
joy,bring back the heyday nominatebunkface
anger,the banter from craigen and sutton on bt is fucking horrid
anger,the quarterback wrecks me every time
anger,as if he heard my thought on the ether my ex has just posted facebook pic of himself snuggling up with said cats now im just angry
joy,in geometry today hannah started crying of laughter because ms canning said pp lol
sadness,andrews hands start shaking and he says i hope i die like right now
anger, u got to b kidding me anu from your firm responded  when i sent the contact details terrible customerexperience
anger, we about to get shit on by the wrath of winter out of nowhere
sadness,my anxiety is playing around help
sadness,an  kind of drive home from work today nightmare dailyfeels
sadness, lol senior year we would get early dismal for work study he was her boss and you know what happened next 
anger,rt  i need that one back that whole cd was hard the one with a rage flew through rhyme flow n the  u speak on the dollar
sadness,this has been the most depressing week full of rain ever lol
anger,   no kinda offended that you had to ask
anger,pride and prejudice is a modern day keeping up with the kardashians   ive never been so offended in my life
sadness, why do you have depression
joy,  lol  ur caste even if the whole village dies a massali like you cant be a chaudhry so cheer up massali 
sadness,most days i dont know what my heart beats for depression
joy,got to be up in  hours to go back to work cantsleep excited
anger,whats the nicest way to tell someone cheerfully whistling outside my apartment door that i will end them should they continue to whistle
anger,i offend u
optimism, if i go im going to blow some serious money idk if thats a sacrifice im willing with make
joy, lordderply for it its like yugioh for animated shows
joy,go follow beautiful snowgang   princess fitness bodyposi haircut  whitegirlwednesday
anger, promised i wouldnt live tweet but     brought it  and furious action ftw
sadness,peoplelikemebecause they see the happy exterior not the hopelessness i sometimes feel inside  anxiety anxietyprobz
sadness,dont think ill ever get used to this  alarm 
anger,when your body says fuck you bitch you aint sleepingnsleep cantsleep drained restless
joy,getting my comedic relief w  during season premiere of modernfamily just what a girl needs hilarious
anger, spent over  fucking hours and still cant get that dam siva fragment on fellwinters peak mountain angry
sadness,both afraid of all the same things
sadness,glad i didnt watch smackdown because i cant see my men   lose sohurt
sadness,liam is too distant makes me mourn 
anger, then he said talking about wills uncontrollable animals when moving to another link these comments do not help fuming
anger, he grumbled as he sat atop the sushi bar stool crossing his arms defiantly in a playful gesture though he gave anyone who gt
anger, quite simply the worst airline worstairline ive ever used  appauling  dismal beyondajoke useless
anger,trust me to lose my wallet and have to call lifeguard amp swimmers social early as vc 
joy, charlie attempted to suffocate me with a cushion for cheering so much at the great news 
sadness,i told my therapist that im on the dance team and now shes unhappy with me
anger,if you aint shaking no ass dont ask me for my liquor rule 
anger,why are people so offended by kendall he ends photo shoot like seriously shut the fuck up
anger,what a shamefull unequal dangerous and worrying world we live in nowadays  terrifying charlotte terrorism shitworldforourkids
anger,lvg bribed all the refs against utd for his own personal revenge that was a foul you prick
joy,what an exhilarating last minute of overtime wch
sadness,its just the lack of company and liveliness out here that makes me bored
anger,i freaking hate working with word on my phone  write writing writerslife writerproblems writer
anger, not to mention the gra guy stops me but lets the  ppl in front of me go wtf my blood is boiling
joy,some erykah badu to sedate me 
sadness,thought i had a pretty solid gpa as a kin major and now that i look at the average for dpt programs i feel even more discouraged 
sadness,background suffered a bit at times of stress always a bit shy about  years ago aged  i was made redundant thats when it started
sadness,i had a panic attack when i couldnt find  on twitter turns out my twitter is a jerk i can still see her nyssaalghul panic
sadness,  that were rather forlorn scanning the witches house before resting back on elphie the grimmerie is gone
anger, stop the presses  saidproposed something racist
anger,  although i dont expect a trumpie to understand the difference between real things and pretend things
anger,everybody talking about the first day of fall but summer  is never gonna die revenge 
joy,first day of fall quarter tomorrow    excited anxious blargh
joy,ive never seen fast amp furious tokyo drift boutta watch it
sadness,its interesting the photo of mono lisa is crying as well as the whole scene is very depressing ele
anger,i swear people dont wanna see me happy like they will try to do anything to fuck up what i got going
sadness,facebook is depressing without even being there two apps want it for logging in i have missed at least two interesting events and they
optimism,not going to waste my energy holding a grudge against someone who wasnt even in my life a year xd ntime to release those feelings of dislike
sadness,mom you remember when narley died you cried like a baby bully
sadness,and there is despair underneath each and every action neach and every attempt to pierce the armour of numbness  mgla
anger, you keep talkin shit and trying to offend me but youre just petty as fuck
anger, i remember joey slagging england players off bringing out books after crap tournamentssame samecrap player bully
sadness, sad music
sadness,heavyheart these last couple of days who are the cause of this  fear of losing someone close  amerikkka kkkops terencecrutcher
joy,im doing laundry and watching that s show with a bunch of strangers happy birthday to me
anger, chuckle any idea girl the dragoness let out a frustrated growl blowing smoke out of her nostrils the old man nodded 
anger, youre looking for an argument that im not engaging in hes not even speaking his own words im not raging at him
joy, yell bye garbage cheerfully after it
anger,how the fuk who the heck moved my fridge should i knock the landlord door  mad 
joy, cheer up
sadness, really sad amp surprising  side russia fighting against is amp on the other supporting pak which is epic centre  terrorism
sadness, so scared to ruffle feathers he resorted to writing in cryptic code unclecamscabin
joy, electro set was pure enjoyment amp exhilarating captivating amp poetic raw exciting 
anger, yes but you were specifically fuming about him not signing enough people
joy,just reached k followers  wow  thanks blues mcfc ctid
anger, thats what im afraid of
sadness,now this is getting out of hand im freaked out by this deathand im god mommagrendel
sadness,am i the only one with parking sensors who still manages to reverse into things
anger, fury road
sadness,if the future doesnt fill you with existential dread are you even a real person
anger,even after  ref the k fraud they still treat me like dirt no returned calls or apology shocking customerservice  
anger, also madden isnt the funniest game to watch and if there isnt much happening its boring
optimism, me tooi really hope the writers decide to give us an return to mcdanno we all love wo resentment amp animosity fingers crossed
joy,today i answered a call from a college rep who didnt realize i did and i got to hear part of his lively debate about if evolution is real
joy,listening to  at work is my slice of sunshine in this dreary cube world tolife
anger,when i was new i hate the judge judy sponsorship style but looking back it was the only thing that worked recovery sober cantconacon
anger,how had matty dawson not scored there
anger,a liar an a bully for president they say every vote matter  well  im sorry youll not get my vote until the year 
anger, you interviewed one irate group two filmmakers who dont live here and got stock statements thats not journalism
joy,anyyyyone wanna go to fright fest with me on friday night 
sadness,wish i was a kid again the only stressful part was whether gabriella and troy would get back together or not hsm
joy,ive been loving you too long otisredding blues
anger, look at those teef
anger,seek to conduct attacks against israel intended to provoke a reaction that would further inflame feeling within the islamic world 
anger,come on lets make em hate make em pout they face 
anger,kik me i want to swap pics i will post on my account anonymously if you wish kik vsvplou kik kikme snap nudes tits snapchat
joy, happy birthday  have a blessed day love from toronto  bday smile
joy,also who has amazon prime that would like to help a girl out lol serious
anger, id say your outrage is the really faux outrage
sadness, heads melted very tired but cant sleep
anger,if angry bash out your frustration on the pastry gbbo
joy,my  literally cracks me up when i see posts from  years ago and later 
anger, its hard for most folks to realize how deep the hatred is until you dive into the murky end of the pool this guy is nuts
anger,ultimately keithscott wasnt the man they were there to hand an arrest warrant to thats what we know thats enough to cause outrage
optimism,we can easily forgive a child who is afraid of the dark the real tragedy of life is when men are afraid of the lightplato
anger,the fact that we have a presidential candidate that speaks the way trump does is alarming i thought higher of my peers fdt
anger,tvgirl is like im really pretty and melancholic about life and this is why i hate myself
anger,as if he heard my thought on the ether my ex has just posted facebook pic of himself snuggling up with said cats now im just
joy,ooh hygge candles jasmine tea amp gbbo
anger, why should i listen to someone with a tie like that
anger, actually wait i do the constant outrage thing gets on my wick sometimes and it happened to flick my annoyance today 
anger, weve had no foreign policy but have had goofy secretary of state john kerry with his devil may care pose and jaunty blue scarf
sadness,ima kitchen sink
anger,how can you hold a grudge for over a year i can barely hold one for a few minutes
optimism,a shy failure is nobler than an immodest success
sadness,we lost
sadness,too many are on their yeah the thing going on with cops shooting innocent people is sad  but just not in my backyard so sad blm
sadness,life is hard its harder if ur stupid life love  sadderness moreofsad howdoestears whatislife
anger,rojo is a terrible defender
anger,this is horrible lewis dunk has begun networking a neogeo with a his holiday home in mexico
anger, king never once spoke out about how the left crushes freespeech in publishing worldnntrump horror scifi ccot p
joy,had a dream last night that chris brown created a diss track about drake and rihanna called i hit it first  dark
joy,i should really study today for chemistry but playing madden is just way more fun
anger,the ending of how i met your mother is dreadful
anger,having a nail half hanging off is absolutely fucking grim even with my acrylic holding it on 
joy,damn gud premiere lethalweaponfunny and
sadness,im crying katherine is the only one whos like talking to me during my anxiety attack im gonna faint
sadness, it was dreadful even after he met the catfish he still thought it was her
sadness, im so sorry this is heartbreaking and so scary if it can happen there it can happen anywhere please be safe  terror
optimism,dont ever grow weary doing gooddont just see the headlines look at the trend lines for hope  cgi
joy,the neighbor dancing in the clayton homes commercial is me
anger,there are adults commiting serious crimes in the name of protestlike burning a library how are we just expecting them to get a warning
sadness,i am about to be a coward and i feel terrible but i cant even face this 
anger,hes seriously so frustrating sometimes   ugh
anger,yal aggravate tf outta me acting lying yal cant tell the difference between a dyke and a man rarely is it that hard to tell the difference
anger, honestly all i care about is selasi not messing this up his lackadaisical attitude isnt good for danishes
sadness,knowing i have my hair to wash and dry is like knowing you had that english close reading in your school bag to do
joy, gerard finally made it up the stairs with a little huff his face a little more red than it was before having little legs 
anger,why to have vanity sizesnow sizes sxsevenxxs sometimes are too big wtf dear corporate jerks lithuania didnt need this rant angry
anger, i couldnt get on with it either bits started drooping that shouldnt droop gp said mooncup alone to blame
sadness,even death is unreliable instead of zero it may be some ghastly hallucination such as the square root of minus one  samuel beckett
anger, why is this evil corrupt fuck still knocking about the wrong people die im telling you do you job grim reaper
anger,bain of my life having to drive to a cash point then to a shop for change in pound coins then to the gym all for a bastard sunbed grim
anger,i wanna kill you and destroy you i want you died and i want her back emo scene  fuck die hatered
joy,successful people always have two things on their lips silence nd smile smile to avoid problems nd silence to avoid the problems too
sadness,all the bright places 
sadness,  all the best moto gp is loosing a very talented rider
anger, can you please not have canadian players play us players that lag  is atrocious fixthisgame trash sfvrefund  rage
anger,no respect for people who force their opinions on to others yet get offended when someone does the same to them 
sadness,im getting use to not having a phone its sad 
joy,   any possibly kg is being bought out as a player so that he can buy in from glen as a minority owner
anger,how hard is it to get in touch with  one simple question i cant find answer to on website and  hour waiting for online chat rage
anger,  that part of queensbury is a shocking disgrace the route from the station to morrisons is festooned with rubbish
anger,im done with your piano blues playing smooth talking ass on to the nexttt
anger, how can you even forget to pick ur fave child up from school
sadness, are the prepurchased tickets being sent soon coming to the saturday evening show tickets are a no show panic hoys 
anger,  yeah it was sooo horrific i needed to sit down
optimism,i lost my wallet then found it then lost it again and then found it ncollege is brazy
sadness,migraine hangover all day stood up to do dishes and now im exhausted again gad depression amp chronic pain  depression pain
anger, girouds beard is making me angry
anger, bloody right
sadness,nothings workingyoure feeling your lifes on the edgecould go either way lost all reason for livingjesuschristhealssavesask fatloss
sadness,seeing an old coworker and his wife mourn the loss of their  year old daughter was one of the saddest things ive ever seen 
optimism,somebody who has braved the storm is brewing
joy,i love when girls are busy in teaching how to pout while taking selfie in a mall  their desication is immense women love perfection
anger,my oldest cat pisses me off shes always been weary of kennen senile kinda but recently shes been sweet until she attacked and bit him
anger,what the fuck am i supposed to do with no lunch no dinner no money and im off to work  hangry day
anger,michelle is one of the worst players in bb history bb bbfinale
sadness,i feel like i am drowning depression anxiety falure worthless
anger,and  the character is a woman because if a man is fat hes jovial if a woman is fat shes useless and maybe evil amirite
anger, papercuts sting and stub ur toe last for like  secs
sadness,honestly today i just felt like maybe track isnt for me sad
anger, turn that shit off   home button under accessibility nnwhen did innovation become mind fuckery  iphonephonehome
anger,  is a bully worse than hitler a demon under human guise its the cause of all middleeast problems
anger, customer services got involved and eventually completely wash their hands of it  dreamornightmare
joy,im thoroughly in love w zen and jumin and i dont think id even have the patience for either of them irl im old and weary
anger,if anyone spoils any of my fucking shows i will haunt you in the afterlife so help me god
anger, nooooooooooooooooooooo we have stupid dismal lame winters where we maybe get some dangerous ice once
sadness,home is where the heart lies  love my little island but my birth city just aint acting right amp im not feeling too good about it
joy,boys dm me pictures of your cocks the best one will get uploaded  cumtribute dm  snapchat snapme nudes dickpic cocktribute
joy,kinda wished i watched mischievous kiss before playful kiss
anger,someone let snakes in my house i bet it  i kill that bugger when i get my hands on him rage huckfp
anger,i dont fuck with people who dont smile back at me in corridors
anger,im what a s tv bully would call a nerd but i would rather shove one thousand nickels into my right earhole than go to new york comic con
joy,forgot to bring extra boxers to the y so im currently commando at starbucks this is exhilarating i feel more liberated than angelina jolie
anger, dude dead ass she said if she came shed start shit with amy amp literally amy didnt do anything but cal her out on her bs
joy,  in fact they need to start making all holidays maybe even e dry month pick a theme so we can have them all year
sadness,depression has you wanting to change the past anxiety has you focusing on the unknown future neither are about living in the present
anger,  how on earth can i send an email to you very annoyed customer
anger, there was a us diver named steele johnson id like him barred from the olympics offended
anger, than straight people even the arse straight guys who think that means a threesome is fine angry fuming
anger,  so in your opinion is this the worst delhi govt acrid bitter hypocrisy
joy,whos not going to hoco and wants to go to fright fest this saturday
anger, youre a pos for rejoicing in someones death
joy,i really want to go for fright night but i really dont 
anger, thanks for ios update even the best app  freezing and crashing on se angry
sadness,but throughout that entire thing i was shaking rlly bad and my heart was racing and i was almost in tears lmao thanks mr
anger,theyre like the rape apologists who inadvertently make men sound like rabid mindless beasts with friends like these
anger,  frustration looking up at elphaba in a frown of aggravation her high pitched voice was growing more and more 
sadness,its so breezy out today i cant go to back to school night with bare legs like ive had all day
anger, somebody needs tell staff at reading cappuccino is supposed to have a thick layer of foam and coffee should be hot awful again
anger, this show sucks lame awful you even used the same names lol so so bad failed notworthminutes off air soon
anger,have wee pop socks on and they keep falling off inside my shoes
sadness,the news is disheartening everything that is going on is a result of a lack of understanding and misinformation by the media sadness
sadness,if you invest in my new film i will stop asking you to invest in my new film concessions crime despair shortsightedness celebrities
anger,trying to book holiday flights on  website is becoming a
sadness,home is where the heart lies  love my little island but my birth city just aint acting right amp im not feeling too good about it restless
joy,the people that call in to pov on kx make my night hilarious
anger,dont provoke me after letting me down 
sadness,ill say it again if i was a black man id be afraid to leave my house or have a moving violationnnterrancecrutcher truth sad
sadness,the medicine is burning  me
joy,  want to have a spar the prince smiles and reaches for his hilt and his icy eyes keep on aaron a playful look in his eyes
sadness,its so unfortunate that after all these years im still struggling with depression smh
optimism,holding a grudge on someone will stop your blessings from god learn to forgive amp forget 
anger,throwback to when khloe kardashian was a host on the x factor and she was fucking terrible at it
joy,gloomy weather puts me in the best mood
joy,huge congratulations to nicole winning big brother   bb sorry not sorry  bbmichelle
anger,  what cant you grasp besides yr cognitive dissonance raging away each incident re leoshooting  separate
sadness,its sad when your man leaves work a little bit late and your worst fear is oh no did he get stopped by the police   ourworld
joy, awe thanks morgs love u lots girly 
joy,one time i saw rachel from glee tell someone their job was on a pole and i said that in th grade to a boy and he look confused
joy, nwho nose where those scent roses wentnto a spot in the orientnmummifiednin rapeseed oil friedneating drinking amp merriment
sadness,when your rewatching glee and break down in tears all over again 
anger,circle k is dead to me i hate your new slushie machine irate livid
anger, i offered    gold or silver but they said nah bitcoin snap
anger, it aint that serious houvsne  igotbetterthingstodotonightthandie
optimism,am meeting olympic house golds   relentless neverquit believe dreambig teamtto goinggold
anger, correction  ppl checked in standing at the gate amp flt  took off without us
joy,a nonpermissive environment is also called a battleground  milspeak hilarious
anger,i just love it when people make plans for me without actually including me in this process rage
